ENS,Nt,Ns,beta,as_bare_mass,as_epsilon,ps_N_source,ps_N_sink,ps_ti,ps_tf,ps_chisquare/dof,m_ps,m_ps_error,v_N_source,v_N_sink,v_ti,v_tf,v_chisquare/dof,m_v,m_v_error,r_ps_v,r_ps_v_error
QB1,48,24,7.62,-0.8,0.01,100,0,8,24,0.57,1.1423986744852477,0.000683884853792005,100,0,8,24,0.65,1.1880496166773122,0.0008477012392307248,0.9615748858033899,0.0003022534344734318
QB1,48,24,7.62,-0.9,0.01,100,20,15,23,0.32,0.9608351921102709,0.0007691872696294899,100,20,8,24,0.44,1.0250784681040037,0.0008852153375560334,0.9373284309516735,0.0006613441535874287
QB1,48,24,7.62,-0.95,0.01,100,0,14,23,0.48,0.8601889053852654,0.0007032039342869112,100,0,10,24,0.61,0.9375844992252835,0.0009908080993742407,0.9174521401495339,0.0007286111395865547
QB1,48,24,7.62,-1.0,0.01,100,0,14,23,0.63,0.7497202797858517,0.0007046970545745435,100,0,10,24,0.82,0.84546739761495,0.0011081671979511487,0.8867524423777907,0.0009594243386982226
QB1,48,24,7.62,-1.05,0.01,100,0,10,23,0.44,0.6251606814625454,0.0006888983113074731,100,0,15,24,0.6,0.7488908886406052,0.0019029963451646648,0.8347820636426007,0.001936200710381475
QB1,48,24,7.62,-1.1,0.08,100,0,12,24,0.46,0.4781173970213471,0.0006179962054281285,100,0,12,24,1.52,0.6460172507998256,0.002242044904979701,0.7401000459808095,0.0026618318115897432
QB1,48,24,7.62,-1.15,0.1,100,0,10,24,0.82,0.2775760652275743,0.0008111095917742728,100,0,7,18,0.53,0.5247446971919971,0.0030738757955532936,0.5289735498289616,0.0031708672547302585
QB1,48,24,7.62,-1.12,0.18,60,0,12,24,0.64,0.4081122003933959,0.0006621677529413672,60,0,9,20,1.33,0.5962125782005226,0.002314221989754839,0.6845078673535407,0.0026206322489891187
QB1,48,24,7.62,-1.14,0.18,60,0,12,24,0.83,0.3263212294581473,0.0007644274321815803,60,0,9,20,0.68,0.5489449490790164,0.003342459136192466,0.5944516476663598,0.0038043214311788143
QB2,60,48,7.7,-0.89,0.02,50,0,24,30,0.84,0.8954129438988312,0.0006487336324476622,50,20,16,28,1.27,0.9570346336825708,0.0008831292172711835,0.9356118497544591,0.0009142709703030549
QB2,60,48,7.7,-0.91,0.02,50,0,17,29,1.42,0.8543086195128768,0.000494282909567878,50,0,14,25,1.5,0.921167133747875,0.0009167949485082705,0.9274197789026878,0.0007745594005539314
QB2,60,48,7.7,-0.92,0.02,50,0,17,29,1.41,0.8331288600527964,0.0004983652990773191,50,0,17,27,1.58,0.9018349768522121,0.0010214501780391183,0.9238152006044063,0.0008784336183349506
QB2,60,48,7.7,-0.93,0.02,50,0,23,29,0.79,0.8114083564438471,0.000631290752339142,50,0,16,25,1.33,0.8836790307321883,0.0010779945744919806,0.9182161488787846,0.0011563145870769898
QB2,60,48,7.7,-0.97,0.02,50,0,24,30,0.64,0.720465092482995,0.0006369478543166718,50,0,16,25,0.85,0.8067437876771888,0.0012119222948152597,0.8930531644469043,0.0014281174710260025
QB2,60,48,7.7,-1.01,0.02,50,0,24,30,0.63,0.6204922254874305,0.0006445601543147994,50,0,16,25,0.54,0.7260779190786133,0.0014662289620902547,0.8545807676878948,0.0017763239999808444
QB2,60,48,7.7,-1.09,0.12,50,0,24,30,1.11,0.3694871336799853,0.0006545181365142927,50,0,16,25,0.45,0.5498254454170178,0.003931040213920656,0.6720080650318866,0.004944608954122409
QB2,60,48,7.7,-1.1,0.12,50,0,23,30,0.78,0.32806875365063015,0.0006867968989913154,50,0,15,23,0.51,0.5227490418511276,0.004727664870216142,0.6275836536952659,0.005641625187374433
QB2,60,48,7.7,-1.11,0.14,50,0,23,30,0.61,0.2813854135878505,0.0006934348615533215,50,0,15,23,0.49,0.4958815650241596,0.006635372003011564,0.5674447961664824,0.007588089870490533
QB2,60,48,7.7,-1.12,0.2,50,0,18,29,1.33,0.22629694750150314,0.0006294428991744372,50,0,12,21,0.58,0.4562526259158733,0.005876823877388138,0.4959904549529742,0.006173350363835151
