ENS,Nt,Ns,beta,f_bare_mass,as_bare_mass,f_epsilon,as_epsilon,Lambda_N_source,Lambda_N_sink,Lambda_ti,Lambda_tf,Lambda_chisquare/dof,m_Lambda,m_Lambda_error,Sigma_N_source,Sigma_N_sink,Sigma_ti,Sigma_tf,Sigma_chisquare/dof,m_Sigma,m_Sigma_error,SigmaS_N_source,SigmaS_N_sink,SigmaS_ti,SigmaS_tf,SigmaS_chisquare/dof,m_SigmaS,m_SigmaS_error,R_Lambda_Sigma,R_Lambda_Sigma_error,R_Sigma_SigmaS,R_Sigma_SigmaS_error
QB1,48,24,7.62,-0.7,-0.8,0.05,0.01,100,10,12,24,0.45,1.3165630615611557,0.0030645188447360194,100,0,12,24,0.37,1.3033431645371043,0.0027231396069913316,100,0,12,24,0.68,1.341872777080562,0.0033389058906052593,1.0101430669863116,0.0015169343020042803,0.9712866873808376,0.001190523800099763
QB1,48,24,7.62,-0.73,-0.8,0.05,0.01,100,0,12,24,0.53,1.2643101289784682,0.0034376335458350393,100,0,12,24,0.37,1.2505736510063632,0.0031876501587542183,100,0,12,24,0.64,1.2914977879336678,0.0038933664079423558,1.0109841415266114,0.0018038435398450847,0.9683126542610799,0.0014595050282033561
QB1,48,24,7.62,-0.75,-0.8,0.05,0.01,100,0,12,24,0.59,1.2294139896431737,0.004093474046024781,100,0,14,24,0.26,1.2143172602896692,0.0036139001285655503,100,0,12,24,0.54,1.2575721257166086,0.004555581603031156,1.0124322776651493,0.0026496866193428392,0.9656044655074625,0.002476715613276892
QB1,48,24,7.62,-0.77,-0.8,0.05,0.01,100,0,12,20,1.03,1.1937903974189736,0.0057979737618982785,100,0,14,22,0.42,1.178627742467459,0.0047419941246305,100,0,14,20,0.26,1.2213092524995175,0.006318407013539806,1.0128646682961762,0.0035007131933613156,0.9650526597217641,0.002848036213504712
QB1,48,24,7.62,-0.79,-0.8,0.05,0.01,100,0,12,24,0.91,1.16139662603282,0.007032061816631963,100,0,14,24,0.57,1.142795150175624,0.006181902391228622,100,0,12,24,0.38,1.1889319757835435,0.0070116020856985095,1.016277174307519,0.005380850612269228,0.9611947306089451,0.005028535088146158
QB1,48,24,7.62,-0.7,-0.9,0.05,0.01,100,0,12,24,0.35,1.2251071329561927,0.0028864444724789884,100,0,14,24,0.23,1.204779841103813,0.002615379544725016,100,0,12,24,0.71,1.2539204788463714,0.0033567911442760057,1.0168722044965126,0.0016208672112301148,0.9608104033935481,0.0016704986441966607
QB1,48,24,7.62,-0.73,-0.9,0.08,0.01,100,0,12,24,0.34,1.170508433554607,0.003154115677140412,100,0,14,24,0.25,1.1498873896592496,0.0029308947329214075,100,0,12,24,0.66,1.2023848646434723,0.003850759811470539,1.0179330985632151,0.0021189296612846853,0.9563388757394339,0.0022421633378603145
QB1,48,24,7.62,-0.75,-0.9,0.08,0.01,100,0,12,24,0.4,1.1343956370109445,0.0036328451900473624,100,0,14,24,0.28,1.1129627370067945,0.0032878165654095515,100,0,12,24,0.57,1.1680998933545585,0.004512431441700215,1.0192575180565269,0.0026542340632149664,0.9527975675184588,0.002759979736531748
QB1,48,24,7.62,-0.77,-0.9,0.08,0.01,100,0,12,24,0.54,1.0984062655351976,0.0046670722917254714,100,0,14,24,0.42,1.0757823492737806,0.0041972075950011956,100,0,12,24,0.46,1.1331495971371432,0.0051269465654837365,1.021030198419494,0.0036031373346145923,0.94937363256511,0.003453611092300024
QB1,48,24,7.62,-0.79,-0.9,0.08,0.01,100,0,10,24,0.73,1.063349157819219,0.004926303883286076,100,0,12,24,0.83,1.0427327370427961,0.004781445880180701,100,0,14,24,0.4,1.0918495999712143,0.0076044335602918345,1.0197715292174399,0.004754077015224123,0.9550149920559451,0.005394707876853033
QB1,48,24,7.62,-0.7,-0.95,0.05,0.01,100,0,12,24,0.33,1.175971834677358,0.002762031642455476,100,0,14,24,0.24,1.1510745843284245,0.0026283027926325975,100,0,12,24,0.69,1.206902522535366,0.003277766355038958,1.0216295717826656,0.0016289930623085702,0.9537427943313412,0.0017531372061755368
QB1,48,24,7.62,-0.73,-0.95,0.2,0.01,100,0,10,24,0.5,1.120895318736216,0.0029420192007725277,100,0,12,24,0.47,1.0947079017768238,0.0027042782278974276,100,0,12,24,0.64,1.1541169744417794,0.003978126621504652,1.0239218305786297,0.002175706736678551,0.9485242189651613,0.002012945397103283
QB1,48,24,7.62,-0.75,-0.95,0.2,0.01,100,0,10,24,0.62,1.0841633652652334,0.0033360192923361787,100,0,12,24,0.5,1.0570439556149798,0.002928248056434324,100,0,12,24,0.59,1.119746768831535,0.004509394760896068,1.0256558958652535,0.002561731954320079,0.944002684390877,0.0023725986149985
QB1,48,24,7.62,-0.77,-0.95,0.2,0.01,100,0,10,24,0.76,1.0470995263998377,0.003865628041353819,100,0,12,24,0.65,1.0195764625893646,0.003715352075647216,100,0,12,24,0.53,1.0845413218736817,0.0052444134773339535,1.0269946049368128,0.0031594072440832566,0.9400992309153494,0.0028219575956145437
