Baryon,beta,mps_fix,w0mps,M_CB,M_CB_err,A2,A2_err,A3,A3_err
Lambda,7.62,-1.15,0.4019301424495275,0.9362890573182653,0.01638781550126911,0.9086057955125136,0.0732845611370202,-0.3014016225140111,0.06483010766951619
Sigma,7.62,-1.15,0.4019301424495275,0.7858325097559601,0.011593987768560576,1.1566105699896547,0.04777004423589726,-0.4746465913752038,0.04334157438050068
SigmaS,7.62,-1.15,0.4019301424495275,1.0865979586322827,0.038600344232922135,0.5867678297015089,0.29319038885802184,-0.05063348918217507,0.295293979096984
Lambda,7.62,-1.1,0.6923139908869106,1.0472102068319096,0.013251806142140499,0.8813516187465669,0.055310281750358126,-0.29426633324854323,0.049608286677799374
Sigma,7.62,-1.1,0.6923139908869106,0.9514865030165407,0.010229084894382012,0.9607351274522418,0.052359340332345905,-0.33248382399098675,0.04898957791657149
SigmaS,7.62,-1.1,0.6923139908869106,1.173863919740083,0.01076757276857987,0.6724117428585785,0.042462888936176446,-0.1532016010454193,0.03717912641440432
Lambda,7.62,-1.05,0.9052326667577658,1.1486945299030595,0.01962923454981702,0.7995274817151241,0.09358085229114366,-0.21478016824117274,0.08292934466491167
Sigma,7.62,-1.05,0.9052326667577658,1.0853874303344422,0.014015826723327685,0.8114935085509234,0.07063619175897884,-0.21272948780476975,0.06768573010335116
SigmaS,7.62,-1.05,0.9052326667577658,1.2468858426570248,0.017495725577158394,0.6675556062185852,0.07664103220090157,-0.14052720158867069,0.06706952404581326
Lambda,7.62,-1.0,1.085594965129913,1.2462958018733388,0.016339201376939227,0.7428913104670252,0.0876868612307462,-0.17240814412048688,0.08068583535644613
Sigma,7.62,-1.0,1.085594965129913,1.1988437046789726,0.015136203815705684,0.7259698428102559,0.07966725657147533,-0.14973844624996044,0.07219341927214194
SigmaS,7.62,-1.0,1.085594965129913,1.3253110819879337,0.01954406113082441,0.6457658432414475,0.09943158781325301,-0.11103297883288664,0.09938450997282741
Lambda,7.62,-0.95,1.2455535349978641,1.3237026943976555,0.014022640433921207,0.7644347861448006,0.07190128799367157,-0.2106003264503101,0.06881828491617994
Sigma,7.62,-0.95,1.2455535349978641,1.2943233889300556,0.015162238570043174,0.685277580734351,0.07109012474006304,-0.12404544901428982,0.06642730865855101
SigmaS,7.62,-0.95,1.2455535349978641,1.3881710650210275,0.019759798611461488,0.7195551309898978,0.08569469726078371,-0.1933505015268745,0.07523324132911458
Lambda,7.62,-0.9,1.3912893581756722,1.4135832973842777,0.017096642072148782,0.6677624900189887,0.10974086061680832,-0.12610850499197201,0.10088486328328461
Sigma,7.62,-0.9,1.3912893581756722,1.3855207410067574,0.017743085571894524,0.6382937270466149,0.10582690191510591,-0.09133577569734529,0.09906610157512971
SigmaS,7.62,-0.9,1.3912893581756722,1.4357869811547572,0.025559273119816428,0.8736116875358517,0.14414383359753535,-0.34669132259116725,0.13677228161629446
Lambda,7.7,-0.93,1.3039332288052623,1.3619244847716483,0.02015551182975539,0.763976542284262,0.1405069623413887,-0.23268653953431778,0.1535792225265447
Sigma,7.7,-0.93,1.3039332288052623,1.317593148406426,0.012509146247559277,0.7899325146518771,0.07750463662592699,-0.23603332802157628,0.08031298815068827
SigmaS,7.7,-0.93,1.3039332288052623,1.400702990928572,0.024536512418601664,0.8598678796993061,0.11799930131432912,-0.34296954757009546,0.1101062123772859
Lambda,8.0,-0.81,1.8322097666379327,1.6737668287952188,0.01601971406142244,0.6178688575997598,0.06161858877445969,-0.11570234701854792,0.04694281736578371
Sigma,8.0,-0.81,1.8322097666379327,1.6660330205409033,0.011594850535598278,0.6005126513110262,0.04636129011457202,-0.11283975849217265,0.03476631453308851
SigmaS,8.0,-0.81,1.8322097666379327,1.7607915533167753,0.01782731002489646,0.545105885461544,0.059941273798654715,-0.08993608399105069,0.04199635488275838
