Baryon,Ansatz,mPS_cut,mps_cut,chisqr,AIC,M_CB,M_CB_err,F2,F2_err,A2,A2_err,L1,L1_err,F3,F3_err,A3,A3_err,L2F,L2F_err,L2A,L2A_err,F4,F4_err,A4,A4_err,C4,C4_err
Lambda,M2,0.52,0.52,1.2806552490997034,271.2806552490997,0.9885401337242685,0.03401980552767636,0.6777165119087207,0.06711573673401416,0.3361155841200149,0.037585976633609575,-0.12451677282263203,0.038991149327703215,,,,,,,,,,,,,,
Lambda,M3,0.52,0.52,0.7853590773444319,278.2617863591148,1.0579775180796025,0.14355295834479365,0.017492084628256396,1.5463561852300536,0.2816381109244277,0.7514761750128112,-0.17274822044551197,0.11522488879909965,1.0148349045385165,2.3869507215936805,-0.20885881146531404,0.8506301801290757,-0.05245758348590618,0.3790761020798425,0.3015059996978533,0.45362798068738686,,,,,,
Lambda,MF4,0.52,0.52,0.692104788097729,280.34605239404885,1.4554588732390918,0.14758257424168164,-11.741208745353987,2.139507338051839,0.29784719622979594,0.7965098081461166,-0.16573888524215463,0.12072309621531224,35.518329446241,5.429985025000505,-0.2332609256171293,0.9167820143954976,-0.08857647633405077,0.38990694153642746,0.3021019342693406,0.4760256968366202,-28.328663575417465,5.26818838230443,,,,
Lambda,MA4,0.52,0.52,0.7808825663418169,280.7808825663418,0.04408877010807087,0.3549426735840341,-0.06196330324366804,1.8615684315192853,39.666072045848054,8.58190933224975,-0.3960149736750255,0.17367036950207548,0.9851955856965,2.8520872533562427,-127.06361392451736,26.82424880866388,0.03737355454189817,0.3432456344231953,1.3303879312902576,0.7951186845114575,0,0,112.47344925475807,23.64691321830935,,
Lambda,MC4,0.52,0.52,1.036408038506155,281.0364080385062,1.059433042554426,0.13110779993838007,0.015579729269606199,1.4455046005193701,0.3754696866833981,0.6539646113598834,-0.1743166947064696,0.11785624719266208,0.9049439192444086,2.3418791403116215,-0.5146984456785796,1.515057371370335,-0.06359326419446583,0.45052639840063186,0.3203576248932856,0.5238153810805799,0,0,0,0,0.43603321709898524,1.904160630460928
Sigma,M2,0.52,0.52,4.111144089834654,274.1111440898346,0.8229580647533206,0.020803691186602413,0.7576112930313454,0.0351701056786069,0.4498478815422762,0.026088691529131847,-0.0983921960658449,0.02585036880897304,,,,,,,,,,,,,,
Sigma,M3,0.52,0.52,1.8737660128661402,278.6245886709554,0.8999575960391362,0.1207373140647301,1.376647455887975,0.9592085666360677,-0.3387213345461054,0.7447683971454847,-0.2677158845313419,0.09840656682664073,-0.8649166850460988,1.4753774005015228,0.43683988841384735,0.9004626974831451,-0.03975287887091056,0.29792501728964615,0.8529578427379889,0.4092859214420089,,,,,,
Sigma,MF4,0.52,0.52,1.0633928723251165,280.5316964361626,5.003311549095077,0.10242508217926982,-120.63668650405344,1.2979114208986857,0.43153801044445794,0.7526786112771,-0.16249657229520625,0.07630520893468529,355.7950657076344,3.3936568679430366,-0.4993694187106803,0.984462773584643,-0.3059673001262181,0.30972031867023275,0.5923225430403343,0.4073219855541864,-291.88292785669535,3.49148501033676,,,,
Sigma,MA4,0.52,0.52,2.4976764173478796,282.49767641734786,0.7029571506200516,0.11647669523274251,1.610582330032798,1.0174119765319247,5.946848256676327,1.4382777838659475,-0.2765752856817869,0.07892886486147555,-1.1877392978192582,1.5616143078302547,-19.362733690140928,3.913406582275936,-0.07390114048415561,0.2967726477557574,0.9357327174972734,0.40899551950504054,0,0,17.310247406860192,3.77922009608303,,
Sigma,MC4,0.52,0.52,2.4442049115559428,282.44420491155597,0.8789606775068328,0.09254011615644864,1.6677245611725273,1.03297849167762,-0.2770041964872558,0.6571806300745162,-0.25862098042332615,0.0901232426194088,-1.3545984344426418,1.6384289844073177,0.19096271925292613,0.8015901117002127,-0.10134771304273602,0.2762306560919956,0.870476929010908,0.3949485029212778,0,0,0,0,0.4095507686152992,0.6924095836425495
SigmaS,M2,0.52,0.52,3.2083327342229793,273.208332734223,1.2197557911985104,0.039880714024132846,0.5605514422855993,0.07458696609904691,0.278650835753049,0.04981970195503835,-0.2624784010715548,0.04368476001790994,,,,,,,,,,,,,,
SigmaS,M3,0.52,0.52,1.585271155406481,278.52842371846884,1.30603066787562,0.21917480417939794,0.1616582307068536,1.7841259362156552,0.692912433103726,1.7467699890033872,-0.46313221169711527,0.12689307845586284,0.3235929194264744,2.767463587891683,-1.22700892998306,2.155751230186536,0.3346408485292398,0.5506969473095671,0.6067922158869745,0.6268079177504907,,,,,,
SigmaS,MF4,0.52,0.52,1.3640421550167436,280.68202107750835,-0.9942346871854948,0.19004366646246973,68.51508185542423,2.436864216587196,0.3240467860778442,1.3851406720492763,-0.5154453060609347,0.12676914820341856,-199.67603392233684,7.355295723274082,-0.7687782292805223,1.7830048766897426,0.4826856936824312,0.4463361300954086,0.7149654341895624,0.5924550890547173,163.83231436135446,7.423627890832961,,,,
SigmaS,MA4,0.52,0.52,0.7232047680791996,280.7232047680792,-0.620126861887897,0.25198855714283896,0.929517823648689,1.8013032648539604,73.58002804108106,4.1842498053370605,-0.9063309494680205,0.14619765578137423,-1.1185819713182297,2.8486815962722596,-236.0938489727292,12.192954769554802,0.5853698088798774,0.49759542089885744,2.5267760855400447,0.7357190576733839,0,0,208.32093849711097,10.457667360182484,,
SigmaS,MC4,0.52,0.52,1.547772200621501,281.5477722006215,1.2991532481087633,0.16817806111612654,1.2047204614397955,1.8888453926217579,0.7541422721584896,1.606756132719189,-0.49353580173222444,0.15255009006277587,-2.064523364801519,3.0532085624164305,-2.8280379047410604,2.580232157325686,0.14555479200765134,0.4870853488842054,0.9332861313326076,0.6911877626176329,0,0,0,0,3.6481615974197776,2.3049297387476475
Lambda,M2,0.52,0.57,2.4649666015983005,264.4649666015983,0.9846231795018474,0.030389475274567257,0.6788700170527355,0.07695440432299216,0.33460901489989114,0.020892122383652456,-0.11787215794174494,0.03359864474051649,,,,,,,,,,,,,,
Lambda,M3,0.52,0.57,1.5621247203279602,270.2231606743326,1.0589953303328894,0.16968442536441897,0.6791584606759682,2.0623988064527548,-0.13287842878417438,1.1690669379227214,-0.22139043437243966,0.13395583637988767,0.017571901934770845,3.088700574846711,0.2698959105267976,1.2474879096343598,-0.012405497276631296,0.19595996819269754,0.4740913634110313,0.6340916375150432,,,,,,
Lambda,MF4,0.52,0.57,1.5390160656934506,272.2565026776156,-0.3634171787989713,0.16662246079547471,42.48170713468002,3.009374110746869,-0.186412997805605,1.0097164932140583,-0.23097959171506285,0.128880725178569,-122.47448276641691,8.66184332799574,0.33369510773020117,1.0603841635403173,0.03139406280414547,0.36410076744280195,0.49166307674872384,0.5607858194402628,100.56344582414167,7.7460305228975415,,,,
Lambda,MA4,0.52,0.57,1.926731558092776,273.9267315580928,0.9149795270412223,0.20008679824921105,0.12868218536239984,1.5956284713896551,5.018746533113576,4.231692778722237,-0.1978469699693287,0.12521905414655954,0.9046366756312604,2.331991701663223,-14.910454787437024,12.663672586327662,-0.10294268779853966,0.3278304154056616,0.4780259600790076,0.5743633782227786,0,0,12.458333057918145,10.346928211907946,,
Lambda,MC4,0.52,0.57,1.7388339205304613,273.73883392053045,1.06453841967034,0.15467034423908999,0.3004737006717697,0.977630780967178,0.01932755179167723,1.203224591158771,-0.1888838942045909,0.15123535653273995,0.5462018659878172,1.4950515936407174,0.05931231710823494,1.1973241303565532,-0.07038958696679948,0.25931710875383446,0.3909125987284066,0.6007571254443709,0,0,0,0,0.2165274773046922,0.5899058168191342
Sigma,M2,0.52,0.57,6.2537897097569,268.2537897097569,0.8173642132808168,0.01668878394517237,0.7525178523464369,0.0432150770629256,0.4716857939170901,0.011412170154279755,-0.09345946025364257,0.021622044491510867,,,,,,,,,,,,,,
Sigma,M3,0.52,0.57,3.7150045816184427,270.5307149402312,0.8383864786362742,0.10706774436836386,1.7374625254035263,1.0806599662905025,-0.07482619598598894,0.5963259073063947,-0.21864025786369068,0.07235531154046504,-1.4912740742370754,1.5205123168543568,0.38877444334660016,0.6297516619394362,0.06791318882706443,0.26750515186352863,0.4775830907072379,0.31316406303890476,,,,,,
