ENS,Nt,Ns,beta,f_bare_mass,f_epsilon,PS_N_source,PS_N_sink,PS_ti,PS_tf,PS_chisquare/dof,m_PS,m_PS_error,V_N_source,V_N_sink,V_ti,V_tf,V_chisquare/dof,m_V,m_V_error,r_PS_V,r_PS_V_error
QB1,48,24,7.62,-0.7,0.05,100,0,13,24,0.97,0.5505103835835543,0.0006399156462677524,100,0,15,23,0.99,0.6245600958034572,0.0012232035475818748,0.8814370102773816,0.0014599508908724745
QB1,48,24,7.62,-0.73,0.08,100,0,13,24,1.12,0.480823186773388,0.000614230885990219,100,0,15,23,0.89,0.5707500614931831,0.0013938079293885908,0.8424408847464151,0.0018572575870480224
QB1,48,24,7.62,-0.75,0.08,100,0,13,24,1.21,0.4305169385190629,0.0006192449868549499,100,0,15,23,0.78,0.5346445585064492,0.0016606488722301638,0.8052395403064216,0.0024123382598931764
QB1,48,24,7.62,-0.77,0.18,60,0,14,24,1.32,0.3758544476256576,0.0006912928431890841,60,20,15,23,0.37,0.5058901113939794,0.007910725954467623,0.7429566998057963,0.01152641335014204
QB1,48,24,7.62,-0.79,0.18,60,0,14,24,1.4,0.31357490636049834,0.0007963642436417118,60,40,8,22,0.92,0.4610033572698047,0.002180800881395939,0.6802009170119274,0.0035011179404469406
QB1,48,24,7.62,-0.78,0.18,60,0,14,24,1.37,0.3459349943881759,0.0007207953884512674,60,40,10,22,0.52,0.48044296287767896,0.0027980806318543827,0.7200334298085059,0.004344283620652534
QB2,60,48,7.7,-0.7,0.18,50,0,13,29,0.74,0.46136864783026144,0.0005166063838253909,50,0,12,29,1.71,0.5401772213558708,0.0009387878322834053,0.8541060777650046,0.0012691407488727435
QB2,60,48,7.7,-0.72,0.18,50,0,13,29,0.67,0.4105552052274254,0.0005431411953790155,50,0,12,25,1.67,0.5036420364199048,0.0011451500305982298,0.8151726336145827,0.001662002541306662
QB2,60,48,7.7,-0.74,0.18,50,0,19,29,0.59,0.35509082995968155,0.0006167197363943777,50,0,12,20,1.16,0.46418292769292435,0.0015160667999293276,0.7649803747081978,0.0027563465594777625
QB2,60,48,7.7,-0.77,0.18,50,0,19,29,0.42,0.25517900784861514,0.0006389127058741284,50,0,12,20,1.87,0.40892478050921166,0.0023783277408886416,0.6240243194135965,0.004137674261591395
QB2,60,48,7.7,-0.76,0.18,50,0,19,29,0.5,0.29175311941067583,0.0006291084124145918,50,50,12,20,0.98,0.4244663668015989,0.0025657812624220178,0.6873409585053062,0.0044039820406205354
QB3,60,48,7.85,-0.66,0.18,50,0,19,26,0.28,0.4144748629766852,0.0006880682969373497,50,0,21,30,0.78,0.47945691221835274,0.001154486718642267,0.8644673846894637,0.0016742276294351432
QB3,60,48,7.85,-0.68,0.18,50,0,19,26,0.43,0.3618300030552982,0.0006780967426300855,50,0,21,30,0.88,0.4396969940334361,0.001320691957041209,0.8229076112987559,0.0021449579214745107
QB3,60,48,7.85,-0.7,0.18,50,0,19,30,0.8,0.302996418562462,0.0005918040091098531,50,0,14,26,0.48,0.40156037725648797,0.0012439050149004038,0.7545475991246259,0.0024172280985592653
QB3,60,48,7.85,-0.72,0.18,50,0,20,30,0.6,0.23505944581452298,0.0005667862113921673,50,0,14,26,0.68,0.362427289678098,0.0017467321726598595,0.6485699408101938,0.003567365932658273
QB3,60,48,7.85,-0.73,0.18,50,0,22,30,0.52,0.1935231609251996,0.0006629436942079681,50,0,14,29,1.13,0.34338978988188684,0.0024492208816766503,0.5635670209989769,0.004563901133296855
QB3,60,48,7.85,-0.71,0.18,50,0,18,30,0.61,0.2706400838886103,0.000529341453219756,50,0,14,26,0.54,0.38184899658560123,0.0014342906254690702,0.7087620664414642,0.00281253120834557
QB4,60,48,8.0,-0.6,0.18,100,40,19,30,1.27,0.4409687525020367,0.0004307198054972483,100,40,23,30,1.16,0.483393489637501,0.0009831533642990498,0.9122356050610471,0.0014330488038695188
QB4,60,48,8.0,-0.62,0.18,60,40,18,30,1.21,0.39299534655338997,0.00044998779470345474,60,20,18,28,0.95,0.4416088205389105,0.0011312265417731115,0.8899173392275186,0.0019446343540433508
QB4,60,48,8.0,-0.64,0.18,60,40,18,30,1.21,0.34160896616585723,0.0004483685782951663,60,10,18,28,0.76,0.40103700487551164,0.0012579843074623787,0.8518140770373501,0.0024862104417912034
QB4,60,48,8.0,-0.66,0.18,50,0,15,28,2.1,0.2851279673600825,0.00043272941072458604,50,0,18,29,1.1,0.36107823910862724,0.001074648729423533,0.7896570229874867,0.0023860232636555567
QB4,60,48,8.0,-0.68,0.18,50,0,15,28,1.6,0.2185220188621972,0.00047958286287969054,50,0,18,29,0.45,0.3201768649383036,0.0017065070468307297,0.68250408693428,0.003800213246602291
QB4,60,48,8.0,-0.69,0.18,50,0,15,28,1.13,0.1778008598067187,0.0005745730326518483,50,0,18,29,0.47,0.30020306452702006,0.002498881429650379,0.5922686368536906,0.004998873789337721
QB4,60,48,8.0,-0.7,0.18,50,0,15,28,1.04,0.12461039337417558,0.0007537774389234086,50,0,18,27,1.04,0.27658749217751755,0.005520838188611932,0.4505279410617707,0.009690144237779363
QB4,60,48,8.0,-0.67,0.18,50,20,23,30,1.29,0.2534758838686864,0.000604428437557536,50,0,22,30,0.94,0.33938562717555953,0.0019210338805654148,0.7468668781826957,0.003919011032244124
QB5,60,48,8.2,-0.62,0.18,50,0,25,30,0.26,0.2507800484399891,0.0006866484525422933,50,0,25,30,0.15,0.3073922879254037,0.0012987968674294526,0.8158306447195157,0.0029210947924684927
QB5,60,48,8.2,-0.64,0.18,50,0,25,30,0.41,0.18239179326345917,0.000829595182434556,50,0,25,30,0.77,0.26066447816652655,0.0024957423347015673,0.6997186365644246,0.005733316030257618
QB5,60,48,8.2,-0.646,0.18,50,0,25,30,0.42,0.15759569182714384,0.0008945524745433142,50,20,23,30,0.9,0.24635323138719384,0.0032495551393420807,0.6397143278362377,0.007670035931820585
