ENS,Nt,Ns,beta,f_bare mass,PS_N_source,PS_N_sink,PS_ti,PS_tf,V_N_source,V_N_sink,V_ti,V_tf
QB1,48,24,7.62,-0.7,100,0,13,24,100,0,15,23
QB1,48,24,7.62,-0.73,100,0,13,24,100,0,15,23
QB1,48,24,7.62,-0.75,100,0,13,24,100,0,15,23
QB1,48,24,7.62,-0.77,60,0,14,24,60,20,15,23
QB1,48,24,7.62,-0.79,60,0,14,24,60,40,8,22
QB1,48,24,7.62,-0.78,60,0,14,24,60,40,10,22
QB2,60,48,7.7,-0.7,50,0,13,29,50,0,12,29
QB2,60,48,7.7,-0.72,50,0,13,29,50,0,12,25
QB2,60,48,7.7,-0.74,50,0,19,29,50,0,12,20
QB2,60,48,7.7,-0.77,50,0,19,29,50,0,12,20
QB2,60,48,7.7,-0.76,50,0,19,29,50,50,12,20
QB3,60,48,7.85,-0.66,50,0,19,26,50,0,21,30
QB3,60,48,7.85,-0.68,50,0,19,26,50,0,21,30
QB3,60,48,7.85,-0.7,50,0,19,30,50,0,14,26
QB3,60,48,7.85,-0.72,50,0,20,30,50,0,14,26
QB3,60,48,7.85,-0.73,50,0,22,30,50,0,14,29
QB3,60,48,7.85,-0.71,50,0,18,30,50,0,14,26
QB4,60,48,8.0,-0.6,100,40,19,30,100,40,23,30
QB4,60,48,8.0,-0.62,60,40,18,30,60,20,18,28
QB4,60,48,8.0,-0.64,60,40,18,30,60,10,18,28
QB4,60,48,8.0,-0.66,50,0,15,28,50,0,18,29
QB4,60,48,8.0,-0.68,50,0,15,28,50,0,18,29
QB4,60,48,8.0,-0.69,50,0,15,28,50,0,18,29
QB4,60,48,8.0,-0.7,50,0,15,28,50,0,18,27
QB4,60,48,8.0,-0.67,50,20,23,30,50,0,22,30
QB5,60,48,8.2,-0.62,50,0,25,30,50,0,25,30
QB5,60,48,8.2,-0.64,50,0,25,30,50,0,25,30
QB5,60,48,8.2,-0.646,50,0,25,30,50,20,23,30
